Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1000001,Multifamily residential,1/1/14,8,"$12,098,090.26 ",5.39%,"$16,802,903.14 ","$1,233,333.09 ",1.89,180,179,15%,2000,0
Commercial Real Estate,ABC1000002,Multifamily residential,1/1/15,11,"$2,934,598.64 ",5.17%,"$3,912,798.19 ","$101,732.75 ",0.67,60,40,5%,2001,0
Commercial Real Estate,ABC1000003,Office building,1/1/18,4,"$1,110,561.61 ",5.28%,"$1,983,145.73 ","$201,289.29 ",3.43,60,43,8%,2000,0
Commercial Real Estate,ABC1000004,Retail space,1/1/18,9,"$938,113.38 ",4.15%,"$1,202,709.46 ","$82,746.41 ",2.13,180,119,3%,1999,0
Commercial Real Estate,ABC1000005,Retail space,1/1/17,10,"$3,845,940.24 ",5.79%,"$5,416,817.24 ","$140,837.25 ",0.63,60,10,3%,1999,1
Commercial Real Estate,ABC1000006,Office building,1/1/14,11,"$774,519.35 ",5.98%,"$992,973.53 ","$43,194.35 ",0.93,120,17,1%,2006,0
Commercial Real Estate,ABC1000007,Retail space,1/1/15,7,"$4,623,639.46 ",5.00%,"$7,224,436.65 ","$467,421.05 ",2.02,120,2,15%,2002,0
Commercial Real Estate,ABC1000008,Retail space,1/1/17,8,"$3,524,158.50 ",4.11%,"$4,963,603.51 ","$313,699.74 ",2.17,120,29,5%,1999,0
Commercial Real Estate,ABC1000009,Multifamily residential,1/1/13,10,"$15,194,106.40 ",4.38%,"$20,258,808.54 ","$881,258.17 ",1.32,60,22,4%,2000,0
Commercial Real Estate,ABC1000010,Retail space,1/1/18,10,"$33,139,985.53 ",5.08%,"$42,487,160.94 ","$2,345,291.28 ",1.39,120,56,5%,1996,0
Commercial Real Estate,ABC1000011,Retail space,1/1/13,8,"$705,978.99 ",4.52%,"$1,023,157.95 ","$52,590.32 ",1.65,120,33,8%,1996,0
Commercial Real Estate,ABC1000012,Retail space,1/1/16,8,"$8,952,829.06 ",4.24%,"$16,579,313.07 ","$268,584.87 ",0.71,120,43,29%,1996,0
Commercial Real Estate,ABC1000013,Office building,1/1/19,9,"$2,029,114.86 ",5.34%,"$3,326,417.81 ","$95,468.19 ",0.88,120,40,28%,1996,0
Commercial Real Estate,ABC1000014,Multifamily residential,1/1/18,9,"$5,950,350.63 ",4.43%,"$8,041,014.37 ","$471,203.44 ",1.79,60,11,27%,2000,0
Commercial Real Estate,ABC1000015,Multifamily residential,1/1/12,6,"$3,586,091.48 ",4.50%,"$6,182,916.34 ","$307,290.94 ",1.9,180,71,27%,1997,0
Commercial Real Estate,ABC1000016,Office building,1/1/16,9,"$3,097,462.10 ",4.06%,"$4,129,949.46 ","$213,931.38 ",1.7,120,13,1%,1996,0
Commercial Real Estate,ABC1000017,Multifamily residential,1/1/16,7,"$876,778.31 ",4.95%,"$1,511,686.74 ","$75,130.83 ",1.73,180,33,14%,1997,0
Commercial Real Estate,ABC1000018,Retail space,1/1/11,8,"$5,455,024.78 ",5.90%,"$7,576,423.30 ","$684,151.02 ",2.13,60,60,12%,1999,0
Commercial Real Estate,ABC1000019,Multifamily residential,1/1/16,4,"$4,533,101.74 ",4.32%,"$8,717,503.35 ","$574,483.47 ",2.93,60,23,3%,2004,0
